Empresa,Relato_Lematizao_SW
Banco Itaú Unibanco,"['realizar', 'atráve', 'negociação', 'app', 'banco', 'quitação', 'contrato', 'cheque', 'especial', '.', 'fazer', '.', 'porém', 'valor', 'aparecer', 'bacem', 'tetanto', 'relacionamento', 'outro', 'institução', 'porém', 'conseguir', 'bacen', 'valor', 'seguir', 'pendenetar', 'pagar', '.', 'peço', 'fazer', 'remoção', '.']"
C6 Bank,"['conta', 'bank', 'encerrar', 'forma', 'unilateral', 'parte', 'banco', 'justificativa', 'logo', 'seguida', 'entrar', 'contato', 'solicitar', 'reanalise', 'reconsideração', 'banco', 'reativação', 'conta', 'reestabelecimento', 'relação', 'banco', 'ver', 'desde', 'abertura', 'conta', 'manter', 'inteiração', 'vantajoso', 'ambos', 'lado', 'utilização', 'serviço', 'disponibilizar', 'quanto', 'assiduidade', 'contra', 'partida', 'cliente', 'passar', 'obtiver', 'resposta', '.']"
Caixa Econômica Federal,"['negativar', 'nome', 'bacen', 'fazer', 'contato', 'comigo', 'Pagemto', 'emprestimo', 'atrave', 'auxilio', 'Brasil', 'quitação', 'divida', 'paguei', 'algum', 'parcela', 'acabar', 'desempregado', 'pagar', 'hoje', 'pagar', 'nome', 'negtativo', '.']"
Nubank,"['junho', 'perdi', 'emprego', 'deixei', 'pagar', 'empréstimo', 'pessoal', 'cartão', 'crédito', 'institução', 'financeiro', 'supracitar', 'cartão', 'crédito', 'contar', 'corrente', 'valor', '.', 'hoje', 'cobrar', 'valor', 'cento', 'trintar', 'quatro', 'mil', 'real', '.', 'interesse', 'resolver', 'porém', 'juro', 'abusivo', 'tornar', 'impossível', 'pagamento', '.']"
Nubank,"['bom', 'tarde', '.', 'débito', 'fatura', 'cartão', 'crédito', '.', 'entrar', 'aplicativo', 'parcelar', 'dívida', 'juro', 'absurdamente', 'alto', 'valor', 'dívida', 'quase', 'dobro', '.', 'assim', 'ficar', 'impossivel', 'fechar', 'acordo', 'quitação', 'dívida', '.']"
Banco Santander,"['pagar', 'dívida', 'desconto', 'banco', 'enviar', 'nome', 'pro', 'scr', 'prejuízo', 'prejudicar', 'conseguir', 'crédito', '.', 'banco', 'querer', 'fazer', 'acordo', 'comigo', 'poder', 'prejudicar', 'segundo', 'entendimento', 'stj', '.', 'solicitar', 'imediato', 'retirada', 'nome', '.']"
Banco Santander,"['venho', 'meio', 'solicitar', 'revisão', 'taxa', 'juro', 'aplicar', 'contrato', 'crédito', 'pessoal', 'contrato', 'nº', '.', 'análise', 'detalhar', 'contrato', 'taxa', 'juro', 'aplicar', 'verifiquei', 'índice', 'praticar', 'banco', 'santander', 'encontrar', 'significativamente', 'acima', 'média', 'estabelecer', 'banco', 'central', 'operação', 'natureza', '.', 'função', 'peço', 'instituição', 'reavalie', 'taxa', 'juro', 'praticar', 'ajustandoa', 'conforme', 'parâmetro', 'orientar', 'banco', 'central', 'crédito', 'pessoal', '.', 'manutenção', 'condição', 'atual', 'impor', 'ônus', 'financeiro', 'excessivo', 'incompatível', 'condição', 'mercado', '.', 'taxa', 'juro', 'banco', 'mês', 'parcela', 'banco', 'r', 'taxa', 'juro', 'bacen', 'mês', 'parcela', 'correta', 'r']"
Banco Santander,"['buscar', 'contato', 'banco', 'santander', 'inúmero', 'forma', 'através', 'app', 'santander', 'email', 'através', 'central', 'atendimento', 'telefone', 'finalidade', 'renegociar', 'dívida', 'através', 'algum', 'modalidade', 'poder', 'unificar', 'dívida', 'parcelamento', 'longo', 'prazo', 'todo', 'contrato', 'ultrapassar', 'limite', 'renda', 'afetar', 'diretamente', 'necessidade', 'básico', '.']"
Mercado Pago,"['venho', 'meio', 'relatar', 'empresa', 'mercado', 'pagar', 'enviar', 'notificação', 'aplicativo', 'fazer', 'cadastro', 'chave', 'pix', 'telefone', 'cpf', 'ganhar', 'fazer', 'recarga', 'real', '.', 'cadastrar', 'chave', 'pix', '.', 'tirar', 'chave', 'outro', 'banco', 'validação', 'chave', 'aguardar', 'receber', 'casback', 'prometer', 'sexta', 'feira', 'data', 'hoje', 'nada', 'entrar', 'contato', 'ontem', 'empresa', 'dizer', 'resolver', 'agora', 'casback', 'prometer', '.']"
Nubank,"['solicitar', 'banco', 'descritivo', 'evolução', 'dívida', 'juro', 'cobrar', 'exorbitante', '.', 'momento', 'enviar', 'nenhum', 'informação', '.', 'piorar', 'empresa', 'realizar', 'cobrança', 'nubank', 'liga', 'minuto', 'todo', '.', 'segundo', 'código', 'consumidor', 'arts', 'devedor', 'poder', 'ligação', 'excessivo', 'abusiva', 'atrapalhar', 'trabalho', '.']"
