Empresa,Relato_Lematizao_SW
Nubank,"['efetuei', 'acordo', 'dívida', 'serasa', 'assim', 'nome', 'protesto']"
Banco do Brasil,"['negociação', 'divido', 'fazer', 'pagamento', 'registrato']"
Banco do Brasil,"['gostar', 'saber', 'motivo', 'nome', 'lista', 'registrato', 'prejuizo', 'valor', 'r', 'banco', 'pagar', 'acordo', 'oferecer', '.', 'peçar', 'possivel', 'retirar', 'nome', 'lista', 'prejuizos', 'registrato', '.']"
Banco Santander,"['gostar', 'saber', 'motivo', 'nome', 'encontraser', 'registrato', 'prejuizo', 'financeiro', 'valor', 'r', 'dever', 'nada', 'banco', 'santander', '.']"
Nubank,"['querer', 'retirar', 'dado', 'registrato']"
Banco Santander,"['efetuei', 'pagamento', 'acordo', 'banco', '.', 'entrar', 'registrato', 'ver', 'dívida', 'ainda', 'constar', 'prejuízome', 'prejudicar', 'conseguir', 'crédito', 'mercado', '.', 'solicitar', 'imediato', 'retirada', 'nome']"
Banco do Brasil,"['prezar', 'conforme', 'resolução', 'nº', 'março', 'capítulo', 'iv', 'solicitar', 'definitivamente', 'cancelar', 'todo', 'qualquer', 'autorização', 'desconto', 'automático', 'conta', 'qualquer', 'natureza', 'salário', 'corrente', 'poupança', '.', 'capítulo', 'iv', 'cancelamento', 'autorização', 'débito', 'art', '.', 'assegurar', 'titular', 'conta', 'direito', 'cancelar', 'autorização', 'débito', '.', 'parágrafo', 'único', '.', 'cancelamento', 'autorização', 'débito', 'conta', 'poder', 'formalizar', 'instituição', 'depositário', 'meio', 'instituição', 'destinatário', '.', 'evitar', 'grande', 'transtorno', 'conflito', 'resolução', 'reforço', 'antes', 'vigência', 'resolução', 'Tínhamos', 'pleno', 'efeito', 'resolução', 'inclusive', 'servir', 'base', 'resolução', 'ano', 'resolução', 'bacen', 'nº', 'art', '.', 'vedar', 'instituição', 'financeiro', 'realização', 'débito', 'conta', 'depósito', 'prévio', 'autorização', 'cliente', '.', 'autorização', 'referir', 'caput', 'dever', 'fornecir', 'escrito', 'meio', 'eletrônico', 'estipulação', 'prazo', 'validade', 'poder', 'indeterminar', 'admitir', 'previsão', 'próprio', 'instrumento', 'contratual', 'abertura', 'conta', 'depósito', '.', 'cancelamento', 'autorização', 'referir', 'caput', 'dever', 'surtir', 'efeito', 'partir', 'data', 'definir', 'cliente', 'falta', 'partir', 'data', 'recebimento', 'instituição', 'financeiro', 'pedido', 'pertinente', 'forma', 'desde', 'resolução', 'Banco', 'central', 'Brasil', 'autorizar', 'cancelamento', 'débito', 'automático', 'conta', '.', 'portanto', 'reforço', 'antes', 'qualquer', 'negativa', 'senhor', 'avaliar', 'remetar', 'pedido', 'área', 'alto', 'banco', 'reforço', 'pedido', 'solicito', 'cancelamento', 'todo', 'débito', 'automático', 'realizar', 'conta', 'corrente', 'salário', 'poupançar', 'referente', 'contrato', 'firmar', 'ano', '.', 'solicitar', 'meio', 'requerimento', 'todo', 'contrato', 'característica', 'crédito', 'direto', 'consumidor', 'consignação', 'folha', 'pagamento', 'autorização', 'débito', 'conta', 'cancelada', 'partir', 'próximo', 'parcela', 'direito', 'pagar', 'referida', 'parcêl', 'via', 'boleto', 'bancário', 'diretamente', 'boca', 'caixa', 'qualquer', 'agência', 'instituição', '.']"
Caixa Econômica Federal,"['contar', 'poupança', 'caixa', 'economico', 'federal', '.', 'divida', 'cartão', 'credito', 'consignar', 'outro', 'acordo', 'conforme', 'oferecer', 'hoje', 'divir', 'nenhum', 'caixa', 'porém', 'procur', 'agencia', 'informar', 'sobre', 'possibilidade', 'abertura', 'conta', 'corrente', 'passar', 'movimentar', 'intenção', 'futuramente', 'tentar', 'financiamento', 'imovel', 'programa', 'casa', 'vida', 'gerente', 'dizer', 'possivel', 'sistema', 'ainda', 'constar', 'divido', 'embora', 'fazer', 'cumprimento', 'acordo', 'fazer', 'considerar', 'problema', 'agencer', 'prejuizo', 'caixa', 'economico', 'federal', '.', 'motivo', 'poder', 'conta', 'novamente', '.', 'pagar', 'divida', 'ainda', 'interno', '.']"
Mercado Pago,"['compra', 'tag', 'ultrapassar', 'mercado', 'pagar', '.', 'tag', 'chegar', 'porém', 'todo', 'vez', 'cadastrar', 'tag', 'dizer', 'possível', 'tentar', 'novamente', 'tarde', '.', 'liguei', 'várias', 'vez', 'mercado', 'pagar', 'sempre', 'falar', 'coisa', '.', 'direcionar', 'setor', 'responsável', 'ver', 'acontecer', '.', 'porém', 'passar', 'mê', 'ativar', 'tag', 'ultrapar', '.', 'conversar', 'celular', 'via', 'whatsapp', 'email', '.', 'infelizmente', 'fazer', 'pouco', 'caso', 'situação', '.']"
Banco do Brasil,"['Banco', 'Brasil', 'negativar', 'nome', 'dois', 'pendência', 'contrato', 'contrato', 'relativo', 'respectivamente', 'data', '.', 'ocorrer', 'todo', 'dois', 'parcela', 'pago', 'desde', '.', 'agora', 'negativação', 'continuar', '.', 'transcorrir', 'tanto', 'tempo', 'desde', 'pagamento', 'claro', 'afronta', 'código', 'defesa', 'consumidor', 'súmula', 'stj', '.']"
Banco do Brasil,"['notificação', 'cópia', 'contrato']"
Mercado Pago,"['recebir', 'retorno', 'referente', 'protocolo', 'nº', 'seguinte', 'posicionamento', 'realizamos', 'estorno', 'compra', 'calção', 'adir', 'ano', 'operação', 'xxx.xxx.xxxxx', 'agora', 'saldo', 'r', 'disponível', 'conta', 'mercado', 'pagar', '.', 'total', 'liberdade', 'utilizálo', 'achar', 'melhor', 'futuro', 'compra', 'plataforma', 'onde', 'poder', 'marcar', 'opção', 'dinheiro', 'conta', 'mercado', 'pagar', 'finalizar', 'transação', 'realizar', 'retirada', 'conta', 'bancário', '.', 'transferir', 'valor', 'bastar', 'acessar', 'site', 'mercado', 'pagar', 'selecionar', 'opção', 'transferir', 'dinheiro', 'logo', 'abaixo', 'saldo', 'disponível', '.', 'inicialmente', 'deixo', 'claro', 'desejo', 'efetuar', 'devolução', 'produto', '.', 'querer', 'efetuar', 'devolução', 'quantia', 'pagar', 'conta', 'bancário', 'contar', 'bancário', 'junto', 'mercado', 'pagar', '.', 'modo', 'peço', 'gentileza', 'solucionar', 'impasse', 'apresentar', '.']"
Caixa Econômica Federal,"['agência', 'araguari', 'solicitar', 'extrato', 'analítico', 'conta', 'poupanço', 'banco', 'querer', 'fornecer', 'alegar', 'conseguir', 'acesso', 'período', 'solicitar', '.']"
Banco Santander,"['tentar', 'registrar', 'reclamação', 'ouvidoria', 'santander', 'via', 'whatsapp', 'robô', 'loop', 'infinito', 'processo', 'atualização', 'telefone', 'permitir', 'prosseguir', 'registro', 'reclamação', '...', 'tentar', 'hora', 'resultado']"
Banco Inter (Banco Intermedium),"['cobrar', 'banco', 'intermediumr', 'contracheque', 'vários', 'valor', 'mês', 'sim', 'mês', 'constar', 'prestação', 'conforme', 'contrato', 'peço', 'cópia', 'contrato', 'realizar', 'contato', 'telefônico', 'banco', 'inter', 'localizar', 'referir', 'contrato', 'dizer', 'possuor', 'conta', 'empréstimo', 'referir', 'banco', '.']"
Banco do Brasil,"['solicitar', 'cheque', 'especial', 'conta', 'informar', 'cadastro', 'inadimplente', 'banco', 'divida', 'loja', 'esposo', 'quitar', 'tempo', 'desconto', 'oferecer', '.', 'nunca', 'participação', 'societario', 'empresa', 'dizer', 'nanco', 'cadastro', 'inadimplente', 'casado', 'caso', 'quizer', 'resolver', 'situação', 'preciso', 'pedir', 'atualização', 'valor', 'pagar', 'engano', 'menos', '.']"
Banco Inter (Banco Intermedium),"['apresentar', 'proposta', 'quitação', 'divida', 'ficar', 'possibilidade', '.']"
Caixa Econômica Federal,"['verifiquei', 'extrato', 'cartão', 'crédito', 'contar', 'corrente', 'constar', 'cobrança', 'cartão', 'credito', 'valor', 'reconhecer', 'tentar', 'acordar', 'diminuição', 'juross', 'abusivo', 'obtiver', 'retorno', 'fatura', 'compra', 'contestar', 'so', 'querer', 'pagar', 'valor', 'justo']"
Banco Santander,"['divida', 'banco', 'santander', 'itau', 'banco', 'Brasil', 'propor', 'acordo', 'paguei', 'prejuizo', 'registrato', 'preciso', 'banco', 'retirar', 'porque', 'paguei', 'atrapalhar', 'vida', '.']"
Banco Itaú Unibanco,"['solicitar', 'banco', 'negociação', 'dívida', 'onde', 'consigo', 'pagar', 'desempregado', '.', 'banco', 'enviar', 'proposta', 'juro', 'abusivo', '.']"
Banco do Brasil,"['verifiquei', 'extrato', 'conta', 'constar', 'cobrança', 'empréstimo', 'cobrar', 'valor', 'reconhecer', 'solicitei', 'autorizar', 'contratar', 'algo', 'valor', '.']"
Banco Inter (Banco Intermedium),"['surreal', 'preciser', 'dizer', 'vcs', 'gostar', 'caminho', 'fácil', 'responder', 'ler', 'ler', 'souber', 'ler', 'ver', 'resposta', 'nenhum', 'relação', 'problema', 'mencionar', '.', 'relação', 'esfera', 'judicial', 'ainda', '.', 'recebir', 'email', 'empresa', 'dizer', 'conta', 'saldo', 'negativo', 'conta', 'bloqueado', 'acesso', 'saldo', 'conta', 'entrar', 'atendimento', 'resposta', 'horário', 'funcionamento', 'chat', 'banco', 'recusar', 'transferêncio', '.', 'qualquer', 'consequencia', 'anular', 'encargo', 'cobrar', 'tornar', 'conta', 'negativo', 'vez', '.', 'bom', 'protocolo', 'anterior', 'esclarecer', 'cobrar', 'juro', 'multa', 'período', 'conta', 'negativo', 'bloquear', 'evidencia', 'judicial', 'essencial', 'prática', 'abusivo', 'banco', '.']"
Banco Itaú Unibanco,"['nome', 'sujo', 'quase', 'ano', 'dívida', 'pagar', 'caducar', 'nome', 'prego', 'irresponsável.vou', 'processar', 'vcs', '.']"
Banco Santander,"['agencia', 'santander', 'solicitar', 'retirar', 'nome', 'lista', 'prejuizo', 'bancario']"
Nubank,"['entrar', 'contato', 'tentar', 'renegociação', 'dívida', 'quitalá', '.', 'atentender', 'oferecer', 'proposta', 'identico', 'disponivel', 'aplicativo', 'valor', 'elevar', 'negociar', 'outro', 'instituição', 'possivel', 'chegar', 'acordo']"
Nubank,"['consigar', 'pagar', 'fatura', 'cartão', 'crédito', 'devido', 'tanto', 'juro', 'acumular']"
C6 Bank,"['recebir', 'ligação', 'através', 'whatsapp', 'número', 'alegar', 'fazer', 'transação', 'ver', 'pix', 'erradamente', 'chave', 'pix', 'referente', 'conta', 'corrente', 'bank', '.', 'seguida', 'verifiquei', 'crédito', 'real', 'conta', 'vir', 'plataforma', 'one', 'pay', 'meio', 'pagamento', '.', 'ligação', 'mulher', 'alegar', 'necessitar', 'dinheiro', 'pedir', 'realizar', 'transferência', 'outro', 'chave', 'pix', 'origem', 'dinheiro', 'cpf', 'xxx.xxx.xxxxx.isi', 'cassia', 'jesus', 'Pedro', '.', 'saber', 'existência', 'golpe', 'ne', 'molde', 'meio', 'trabalho', 'gestão', 'escola', 'público', 'Rio', 'janeiro', 'atentar', 'verificar', 'cair', 'golpe', 'realizeir', 'pix', 'conforme', 'solicitar', '.', 'manhã', 'seguinte', 'realizeir', 'comunicação', 'ocorrência', 'entrar', 'contato', 'banco', 'bank', 'através', 'app', 'acesso', 'conta', '.', 'ressalto', 'banco', 'retornar', 'medida', 'enviariar', 'através', 'email', 'nenhum', 'outro', 'contato', '.', 'gostar', 'intervenção', 'cpf', 'danificar', 'gestora', 'unidade', 'escolar', 'mexo', 'diretamente', 'conta', 'público', '.', 'gostar', 'resposta', 'breve', 'possível', '.']"
Nubank,"['data', 'ver', 'juro', 'abusivo', 'afastar', 'trabalho', 'ano', 'mês', 'pagamento', 'inss', 'pagamento', 'mal', 'poder', 'comprar', 'remédio', 'ligar', 'ameaçar', 'peço', 'limpa', 'nome']"
Banco Bradesco,"['solicitar', 'retirar', 'débito', 'automatico', 'conta', 'corrente', 'n', 'xxxxxx', 'agencer', 'referente', 'débito', 'parcela', 'contrato', 'empréstimo', 'consignar', 'nº', '.']"
Mercado Pago,"['compra', 'mercado', 'livre', 'confirmar', 'reembolso', 'informar', 'atendente', 'mercado', 'pagar', 'receber', 'nunca', 'recebir', 'reembolso', '.', 'simplesmente', 'horrível', 'sistema', 'mercado', 'pagar', '.', 'antes', 'mostrar', 'data', 'receber', 'dinheiro', 'agora', 'saber', 'nada', '.', 'invés', 'melhorar', 'empresa', 'so', 'piora', 'perder', 'cliente', '.', 'mexer', 'algo', 'bom', 'transformar', 'ruim', '.', 'coloquem', 'antigamente', 'reembolso', 'cliente', 'ver', 'data', 'receber', 'reembolso', '.']"
Banco do Brasil,"['prezar', 'conforme', 'resolução', 'nº', 'março', 'capítulo', 'iv', 'solicitar', 'definitivamente', 'cancelar', 'todo', 'qualquer', 'autorização', 'desconto', 'automático', 'conta', 'qualquer', 'natureza', 'salário', 'corrente', 'poupança', '.', 'capítulo', 'iv', 'cancelamento', 'autorização', 'débito', 'art', '.', 'assegurar', 'titular', 'conta', 'direito', 'cancelar', 'autorização', 'débito', '.', 'parágrafo', 'único', '.', 'cancelamento', 'autorização', 'débito', 'conta', 'poder', 'formalizar', 'instituição', 'depositário', 'meio', 'instituição', 'destinatário', '.', 'evitar', 'grande', 'transtorno', 'conflito', 'resolução', 'reforço', 'antes', 'vigência', 'resolução', 'Tínhamos', 'pleno', 'efeito', 'resolução', 'inclusive', 'servir', 'base', 'resolução', 'ano', 'resolução', 'bacen', 'nº', 'art', '.', 'vedar', 'instituição', 'financeiro', 'realização', 'débito', 'conta', 'depósito', 'prévio', 'autorização', 'cliente', '.', 'autorização', 'referir', 'caput', 'dever', 'fornecir', 'escrito', 'meio', 'eletrônico', 'estipulação', 'prazo', 'validade', 'poder', 'indeterminar', 'admitir', 'previsão', 'próprio', 'instrumento', 'contratual', 'abertura', 'conta', 'depósito', '.', 'cancelamento', 'autorização', 'referir', 'caput', 'dever', 'surtir', 'efeito', 'partir', 'data', 'definir', 'cliente', 'falta', 'partir', 'data', 'recebimento', 'instituição', 'financeiro', 'pedido', 'pertinente', 'forma', 'desde', 'resolução', 'Banco', 'central', 'Brasil', 'autorizar', 'cancelamento', 'débito', 'automático', 'conta', '.', 'portanto', 'reforço', 'antes', 'qualquer', 'negativa', 'senhor', 'avaliar', 'remetar', 'pedido', 'área', 'alto', 'banco', 'reforço', 'pedido', 'solicito', 'cancelamento', 'todo', 'débito', 'automático', 'realizar', 'conta', 'corrente', 'salário', 'poupançar', 'referente', 'contrato', 'firmar', 'ano', '.', 'solicitar', 'meio', 'requerimento', 'todo', 'contrato', 'característica', 'crédito', 'direto', 'consumidor', 'consignação', 'folha', 'pagamento', 'autorização', 'débito', 'conta', 'cancelada', 'partir', 'próximo', 'parcela', 'direito', 'pagar', 'referida', 'parcêl', 'via', 'boleto', 'bancário', 'diretamente', 'boca', 'caixa', 'qualquer', 'agência', 'instituição', '.']"
Nubank,"['instituição', 'financeiro', 'Nubank', 'realizar', 'inclusão', 'nome', 'registrato', 'alegar', 'prejuízo', 'valor', 'contudo', 'tal', 'valor', 'devidamente', 'pagar', 'acordo', 'realizar', 'junto', 'serasa', 'consumidor', '.', 'comprovante', 'pagamento', 'enviar', 'instituição', 'financeiro', 'todavia', 'presente', 'data', 'realizar', 'retirada', 'nome', 'registrato', 'vir', 'causar', 'sério', 'prejuízo', '.']"
C6 Bank,"['dívida', 'liquidação', 'todo', 'valor', 'devido', '.', 'boleto', 'cancelar', '.', 'dda', 'lotado', 'boleto', 'causar', 'tumulto', 'boleto', 'realmente', 'pagar', '.', 'solicitar', 'imediatamente', 'cancelamento', 'todo', 'boleto', 'gerar', 'cpf', '.', 'resolver', 'acionar', 'banco', 'central']"
Banco Bradesco,"['data', 'cobrança', 'inss', 'motivo', 'doença', 'pagamento', 'ameaçar', 'prejudicar', 'saúde', 'juro', 'cada', 'aumentar', 'peço', 'limpeza', 'nome']"
Banco Itaú Unibanco,"['paguei', 'dívida', 'banco', 'itaú', 'tirar', 'relatório', 'constar', 'prejuízo', 'scr', 'prejudicar', 'conseguir', 'credito', '.', 'banco', 'querer', 'fazer', 'acordo', 'comigo', 'poder', 'prejudicar', 'segundo', 'entendimento', 'stj', '.']"
Nubank,"['dívida', 'cartão', 'crédito', 'empresa', 'nubank', 'porém', 'conseguir', 'pagar', 'devido', 'juro', 'alto', '.']"
Banco do Brasil,"['recebir', 'consócio', 'cedente', 'adesão', 'número', 'cotar', 'número', 'mês', 'agosto', 'onde', 'iniciar', 'processo', 'perguntar', 'diversos', 'vez', 'atendente', 'cláudio', 'valor', 'transferência', 'consórcio', '.', 'diversos', 'vez', 'responder', 'exisitir', 'valor', 'transferência', 'correntista', 'bb', 'conrrentista', 'bb', '.', 'assinar', 'contrato', 'memento', 'nenhum', 'constar', 'informação', 'valor', 'transferência', 'outubro', 'pagar', 'primeiro', 'prestação', 'consórcio', 'surpreender', 'valor', 'contratar', '.', 'ligar', 'bb', 'parte', 'consórcio', 'informar', 'atendente', 'valor', 'referir', 'taxa', 'transferência', 'consórcio', '.', 'informei', 'durante', 'processo', 'transferência', 'informar', 'taxa', 'porém', 'dizer', 'constar', 'sistema', 'informação', 'poder', 'fazer', 'infelizmente', 'nada', 'ali', 'conseguir', 'dizer', 'cobrar', '.', 'perguntar', 'dever', 'fazer', 'informar', 'dever', 'procurar', 'agência', '.', 'procur', 'agência', 'lá', 'atendente', 'saber', 'dizer', 'taxa', 'transferência', 'atendimento', 'telefone', 'falar', 'exisitir', '.', 'resumir', 'saí', 'lá', 'resolução', 'problema', 'valor', 'quase', 'mil', 'real', 'descontar', 'taxa', 'trasnferência', '.']"
Banco do Brasil,"['verifiquei', 'extrato', 'autorizar', 'nenhum', 'dado', 'vazado', 'doente', 'inss', 'ano', 'mês', 'pagamento', 'afastar', 'motivo', 'doença', 'peço', 'limpeza', 'nome', '.']"
Caixa Econômica Federal,"['beneficiário', 'inss', 'tempo', 'contribuição', 'nb', 'nº', '.', '.', '.', 'consulta', 'extrato', 'empréstimo', 'consignar', 'constatar', 'desconto', 'r', 'denominar', 'consignação', 'empréstimo', 'bancário', '.', '.', 'ocorrer', 'disponibilizar', 'cópia', 'contrato', 'informar', 'valor', 'emprestar', 'juro', 'aplicar', '.']"
Caixa Econômica Federal,"['bom', 'tarde', 'tentar', 'solicitar', 'aplicativo', 'habitação', 'sobre', 'financiamento', 'instituíção', 'ate', 'presente', 'momento', 'conseguir', 'informação', '.']"
Banco Bradesco,"['paguei', 'dívida', 'desconto', 'banco', 'colocar', 'nome', 'prejuízo', 'Banco', 'central', '.', 'segundo', 'stj', 'lista', 'caráter', 'restritivo', 'credito', 'dever', 'banco', 'remover', 'nome', 'lista', 'sob', 'risco', 'processo', 'judicial', 'pedir', 'retirada', 'dano', 'moral', '.', 'tentar', 'fazer', 'financiamento', 'imóvel', 'outro', 'banco', 'retorno', 'instituição', 'financeiro', 'proponente', 'possuir', 'dívida', 'baixar', 'prejuízo', 'scr', '.']"
Banco do Brasil,"['vítima', 'fraude', 'lançamento', 'pix', 'assim', 'percebi', 'entrar', 'contato', 'banco', 'contestar', 'lançamento', 'contestação', 'aceitar', '.', 'pessoa', 'alegar', 'atendente', 'empresa', 'Internet', 'gerar', 'm', 'suposto', 'código', 'reembolso', 'verdade', 'código', 'pagamento', 'pix', 'dizer', 'atendimento', 'final', 'código', 'gerar', 'inscrição', 'claroestornodepagamento', 'utilizar', 'justificar', 'suposto', 'reembolso']"
Banco Santander,"['beneficiário', 'inss', 'tempo', 'contribuição', 'nb', 'nº', '.', '.', '.', 'consulta', 'extrato', 'empréstimo', 'consignar', 'constatar', 'desconto', 'r', 'denominar', 'consignação', 'empréstimo', 'bancário', '.', '.', 'ocorrer', 'recordar', 'aderer', 'tal', 'contratação', 'tão', 'pouco', 'autorizeir', 'débito', 'benefício', 'aposentadoria', '.']"
Banco Bradesco,"['aplicação', 'resolução', 'capítulo', 'iv', '.', 'solicitar', 'definitivamente', 'cancelar', 'todo', 'qualquer', 'autorizaçãoder', 'desconto', 'automático', 'conta', 'qualquer', 'natureza', 'salário', 'corrente', 'poupança', '.']"
Nubank,"['conta', 'nubank', 'enviar', 'cartão', 'crédito', 'gastei', 'cartão', 'depositar', 'quantia', 'pagar', 'fatura', 'cartão', 'motivo', 'nubank', 'bloqueio', 'conta', 'valor', 'lá', 'depositar', 'agora', 'cobrar', 'conta', 'cartão', 'juro', 'valor', 'bloquear', 'aplicativo', 'nubank', 'tal', 'valor', 'utilizar', 'pagamento', 'fatura', 'cartão', 'crédito', 'pedir', 'varia', 'vez', 'devolução', 'valor', 'bloquear', 'justamente', 'pagamento', 'fatura', 'nunca', 'ressarcer', 'fatura', 'cartão', 'vir', 'aumentar', 'valor', 'devido', 'juro', 'multa', '.']"
Banco do Brasil,"['título', 'reclamação', 'solicitação', 'retirada', 'nome', 'rcq', 'bacen', 'descriçãosolicito', 'retirada', 'dado', 'sobre', 'divida', 'ver', 'existir', 'periodo', 'ano', '.', 'prezadosbanco', 'Brasil', 'gostar', 'registrar', 'reclamação', 'referente', 'inclusão', 'nome', 'registro', 'cliente', 'Banco', 'Central', 'rcq', '.', 'chrystian', 'Emanoel', 'chaib', 'Ferreira', 'portadora', 'cpf', 'nº', 'xxx.xxx.xxxxx', 'realizeir', 'solicitação', 'formal', 'exclusão', 'dado', 'vez', 'exerço', 'direito', 'privacidade', 'proteção', 'dado', 'pessoal', '.', 'entanto', 'momento', 'obtiver', 'resposta', 'confirmação', 'sobre', 'efetivação', 'solicitação', '.', 'reitero', 'manutenção', 'nome', 'rcq', 'inadequar', 'gostar', 'situação', 'resolver', 'breve', 'possível', '.', 'aguardo', 'posição', 'respeito', 'agradeço', 'atenção', '.', 'atenciosamente', 'chrystian', 'Emanoel', 'chaib', 'Ferreira', 'xxxxxxxxxxxxxxxx.xxx']"
Banco Inter (Banco Intermedium),"['primoroso', 'bom', 'tarde', '.', 'infelizmente', 'passar', 'problema', 'vir', 'encaminhar', 'quase', 'ano', '.', 'solicitar', 'cancelamento', 'conta', 'corrente', 'logo', 'recebir', 'devido', 'email', 'informar', 'fato', 'cancelar', 'conta', '.', 'acontecer', 'Arrependi', 'decisão', 'querer', 'novamente', 'acesso', 'conta', 'aguardar', 'prazo', 'abertura', 'novo', 'conta', 'entrar', 'contato', 'devido', 'finalidade', 'conseguir', 'aplicativo', 'surpresa', 'informar', 'conta', 'nunca', 'cancelar', 'valor', 'resgatado', 'somente', 'suspender', '.', 'então', 'atendente', 'dizer', 'fazer', 'reativação', 'bem', 'limpeza', 'dado', 'conta', 'usala', 'normalmente', 'desde', 'então', 'problema', 'persistir', 'entro', 'contato', 'pedir', 'aguardar', 'útel', 'entrar', 'contato', 'nínguem', 'entrar', 'novamente', 'ligo', 'novo', 'atendente', 'dizer', 'coisa', 'aguardo', 'nada', 'acontecer', '.', 'fim', 'conseguir', 'acesso', 'pedir', 'retirar', 'valor', 'conta', 'reativar', 'remoção', 'valor', 'recebir', 'outro', 'email', '.', 'primeiro', 'falar', 'conta', 'encerrar', 'falar', 'fazer', 'algum', 'procedimento', 'interno', 'habilitar', 'novo', 'conta', 'porém', 'consigo', 'tudo', 'aplicativo', 'mostrar', 'conta', 'aparentemente', 'ainda', 'constar', 'suspender', 'alterar', 'senha', 'criar', 'novo', 'conta', 'menciono', 'ainda', 'aplicativo', 'sistema', 'io', 'devidamente', 'atualizar', '.']"
Nubank,"['prezar', 'venho', 'meio', 'registrar', 'reclamação', 'formal', 'acerca', 'evolução', 'dívida', 'cartão', 'crédito', 'nubank', '.', 'inicialmente', 'saldo', 'devedor', 'r', 'contudo', 'verificar', 'extrato', 'recente', 'constatar', 'valor', 'dívida', 'atingir', 'r', 'representar', 'aumento', 'extremamente', 'elevar', '.', 'analisar', 'evolução', 'dívida', 'percebo', 'juro', 'aplicar', 'significativamente', 'acima', 'média', 'praticar', 'mercado', 'conforme', 'dado', 'Banco', 'central', '.', 'tal', 'prática', 'encontro', 'princípio', 'boafé', 'transparência', 'dever', 'reger', 'relação', 'consumo', 'especialmente', 'setor', 'financeiro', '.', 'acordo', 'código', 'defesa', 'consumidor', 'dever', 'instituição', 'financeiro', 'agir', 'clareza', 'equidade', 'cobrança', 'juro', 'encargo', 'prejudicar', 'desproporcionalmente', 'consumidor', '.', 'ressalto', 'ainda', 'acordo', 'resolução', 'cmn', 'nº', 'regulamentação', 'claro', 'sobre', 'limite', 'razoabilidade', 'taxa', 'juro', 'aplicar', 'além', 'necessidade', 'comunicação', 'transparente', 'cliente', '.', 'prática', 'juro', 'abusivo', 'poder', 'configurar', 'prática', 'ilegal', 'lesivo', 'consumidor', '.', 'solicitar', 'portanto', 'revisão', 'detalhar', 'cálculo', 'adequação', 'juro', 'parâmetro', 'regulamentar', 'evitar', 'enriquecimento', 'ilícito', 'desfavor', 'cliente', '.', 'gostar', 'ainda', 'receber', 'posicionamento', 'formal', 'instituição', 'explicação', 'detalhar', 'sobre', 'critério', 'utilizar', 'cálculo', 'encargo', 'juro', 'aplicar', 'dívida', '.', 'aguardo', 'resposta', 'célere', 'solução', 'justo', 'caso', '.', 'atenciosamente']"
Banco Bradesco,"['correntista', 'Banco', 'bradesco', 'contrato', 'emprestimo', 'pessoal', 'quitei', 'programa', 'desenrolar', 'contudo', 'banco', 'apresentar', 'contrato', 'diverso', 'negativado', 'protesto', 'cartorio', 'protesto', 'cidade', 'manau', '.']"
Banco Bradesco,"['recebir', 'ligação', 'nome', 'banco', 'bradesco', 'onde', 'contar', 'pessoa', 'outro', 'lado', 'falar', 'gerente', 'banco', 'iphone', 'tentar', 'fazer', 'empréstimo', 'conta', 'bloquear', 'precisar', 'apagar', 'baixar', 'novamente', 'aplicativo', 'banco', 'então', 'falar', 'ligar', 'gerente', 'falar', 'ali', 'passar', 'mulher', 'falar', 'igual', 'gerente', 'conta', 'mulher', 'falar', 'olhar', 'conta', 'olhar', 'conta', 'empréstimo', 'fazer', 'falar', 'cancelar', 'empréstimo', 'precisar', 'devolver', 'dinheiro', 'caixa', 'económico', 'fazer', 'simulação', 'olhei', 'conta', 'fazer', 'dois', 'empréstimo', 'valor', 'transferir', 'exato', 'valor', 'ted', 'pessoa', 'chamar', 'kaic', 'veiga', 'santo', 'outro', 'empréstimo', 'valor', 'transferir', 'pix', 'ingrid', 'cristina', 'moura', 'fazer', 'pix', 'registro', 'ocorrêncio', 'policial', 'protocolo']"
Caixa Econômica Federal,"['paguei', 'boleto', 'fies', 'referente', 'aplicado', 'Fies', 'saldo', 'devedor', 'algum', 'centavo', 'porém', 'saldo', 'invés', 'abater', 'subir', '.', 'nenhum', 'atendente', 'conseguir', 'explicar', 'acontecer', '.', 'conversar', 'ontem', 'sac', 'caixa', 'davisonr', 'dizer', 'sistema', 'constar', 'pagamento', 'valor', 'valor', 'mudario', 'momento', 'ainda', '.', 'gostar', 'solução', 'condição', 'pagar']"
